"instance","w","h","lots","land_cells","river_cells","preserve_cells","aptitude_classes","connected_components","batch_size","crossover_rate","keep_rate","new_rate","time","generations","seed","num_new_solutions","num_crossovers","num_mutations","num_solutions_explored","generation_best","time_to_best","time_avg","time_std_dev","time_initial","value_best","value_worst","value_avg","value_std_dev","value_initial","max_area_best","max_area_worst","max_area_avg","max_area_std_dev","max_area_initial","min_area_best","min_area_worst","min_area_avg","min_area_std_dev","min_area_initial","rivers_best","rivers_worst","rivers_avg","rivers_std_dev","rivers_initial","river_violations_best","river_violations_worst","river_violations_avg","river_violations_std_dev","river_violations_initial","size_ratio_best","size_ratio_worst","size_ratio_avg","size_ratio_std_dev","size_ratio_initial","convexity_best","convexity_worst","convexity_avg","convexity_std_dev","convexity_initial","num_empty_crossover_lots","num_disconnected_crossover_lots","num_empty_mutation_lots","num_disconnected_mutation_lots"
"200x200k100s45221",200,200,100,37594,2241,165,5,7,1024,0,0,1,4.82,50,14033397268863590400,51,0,0,51,25,2.45,0.09,0,0.09,6830.42,6830.42,7787.53,1446.72,9030.66,84,84,135.59,34.18,146,766,766,861.53,216.05,894,4028,4028,7048.57,1506.74,9953,28,28,33.04,3.24,37,9.12,9.12,7.14,3.97,6.12,1.24,1.24,1.21,0.01,1.21,0,0,0,0
"200x200k100s45221",200,200,100,37594,2241,165,5,7,512,0,0,1,6.89,50,14033397369685276672,51,0,0,51,23,3.28,0.13,0.01,0.14,5817.01,5817.01,8149.9,1530.39,6466.76,175,175,139.33,36.58,176,886,886,926.75,201.96,830,3613,3613,7155.67,1752.41,6218,26,26,35.37,3.3,37,5.06,5.06,7.3,2.98,4.72,1.26,1.26,1.26,0.02,1.26,0,0,0,0
"200x200k100s45221",200,200,100,37594,2241,165,5,7,2048,0,0,1,3.76,50,14033278024304230400,51,0,0,51,20,1.55,0.07,0,0.07,7437.32,7437.32,8491.61,1562.68,7899.81,139,139,114.61,31.1,73,765,765,948.08,221.32,1099,5423,5423,7994.49,1487.3,6361,28,28,32.73,2.83,33,5.5,5.5,9.22,4.23,15.05,1.18,1.18,1.18,0.01,1.18,0,0,0,0
"200x200k100s45221",200,200,100,37594,2241,165,5,7,4096,0,0,1,3.01,50,14033285409877884928,51,0,0,51,50,2.98,0.06,0,0.06,6765.43,6765.43,9518.58,1553.21,7875.4,98,98,96,28.27,116,721,721,968.98,210.43,889,5754,5754,9181.63,1424.76,7292,31,31,32.73,2.75,30,7.36,7.36,13.46,19.93,7.66,1.16,1.16,1.15,0.01,1.15,0,0,0,0
"200x200k100s45221",200,200,100,37594,2241,165,5,7,256,0,0,1,11.35,50,14033396784744505344,51,0,0,51,40,9.08,0.22,0.02,0.23,5151.84,5151.84,8753.12,1517.85,8202.38,118,118,134.61,31.73,160,648,648,910.39,235.75,797,3707,3707,7321.37,1941.85,7663,32,32,36.57,3.31,37,5.49,5.49,7.49,4.09,4.98,1.32,1.32,1.31,0.02,1.3,0,0,0,0
"200x200k20s45221",200,200,20,37196,2241,563,5,7,128,0,0,1,10.87,50,14033243613166424064,51,0,0,51,6,1.52,0.21,0.02,0.23,18608.37,18608.37,32071.49,12204.47,19352.72,1257,1257,1020.47,258.97,1064,3252,3252,3412.31,627.48,3196,538,538,6768.76,4417.89,4240,5,5,9.14,2.72,9,2.59,2.59,3.73,1.86,3,1.41,1.41,1.38,0.06,1.38,0,0,0,0
"200x200k100s45221",200,200,100,37594,2241,165,5,7,128,0,0,1,22.91,50,14041040135349301248,51,0,0,51,25,11.58,0.45,0.04,0.46,5499.43,5499.43,8877.09,1818.25,13546.41,163,163,136.63,33.23,131,662,662,921.43,240.05,1478,1809,1809,6215.9,2071.2,7021,28,28,34.12,3.81,34,4.06,4.06,7.54,4.63,11.28,1.37,1.37,1.36,0.03,1.31,0,0,0,0
"200x200k20s45221",200,200,20,37196,2241,563,5,7,512,0,0,1,4.06,50,14033251048893691904,51,0,0,51,19,1.62,0.08,0,0.08,28238.65,28238.65,34446.9,10686.92,31342.23,974,974,960.92,204.32,1119,3100,3100,3462.98,686.53,3168,2735,2735,9091.96,3129.72,7235,7,7,11.12,1.69,11,3.18,3.18,3.97,2.31,2.83,1.22,1.22,1.21,0.03,1.21,0,0,0,0
"200x200k20s45221",200,200,20,37196,2241,563,5,7,256,0,0,1,6.21,50,14033250889693702144,51,0,0,51,31,3.83,0.12,0.01,0.13,16408.39,16408.39,32775.87,12669.21,30880.19,1223,1223,997.88,238.4,643,2622,2622,3441.51,852.07,3408,1857,1857,6539.63,2790.78,3070,6,6,9.76,1.78,5,2.14,2.14,4.02,2.86,5.3,1.35,1.35,1.31,0.04,1.26,0,0,0,0
"200x200k20s45221",200,200,20,37196,2241,563,5,7,1024,0,0,1,3.25,50,14033279116522817536,51,0,0,51,48,3.11,0.06,0,0.08,25548.1,25548.1,37362.04,10357.08,30679.44,1020,1020,836.51,241.72,637,2626,2626,3486.02,739.07,2641,1569,1569,9754.98,4104.07,8279,4,4,10.27,2.21,10,2.57,2.57,4.79,2.55,4.15,1.21,1.21,1.18,0.02,1.18,0,0,0,0
"200x200k20s45221",200,200,20,37196,2241,563,5,7,2048,0,0,1,2.52,50,14033282063246784512,51,0,0,51,22,1.16,0.05,0,0.05,42776.36,42776.36,44835.17,11151.9,28942.93,492,492,689.63,244.79,913,3039,3039,3807.73,821.93,2812,2080,2080,11932.33,4065.39,9362,4,4,10.45,2.04,12,6.18,6.18,6.85,4.66,3.08,1.18,1.18,1.16,0.02,1.18,0,0,0,0
"200x200k20s45221",200,200,20,37196,2241,563,5,7,4096,0,0,1,2.22,50,14033243702780495872,51,0,0,51,23,1.04,0.04,0,0.04,28451.81,28451.81,42870.63,12987.38,33873.73,570,570,695.33,211.59,412,2887,2887,3636.37,876.4,2989,3741,3741,11267.69,3766.64,7404,8,8,10.22,1.89,11,5.06,5.06,6.71,7.34,7.25,1.15,1.15,1.16,0.02,1.16,0,0,0,0
"200x200k20s45221",200,200,20,37196,2241,563,5,7,64,0,0,1,22.91,50,14033278021524254720,51,0,0,51,21,10.3,0.45,0.06,0.36,13189.2,13189.2,30308.11,13110.25,39652.51,1632,1632,1039.76,249.2,966,2222,2222,3456.73,843.83,3070,871,871,5584.55,3411.71,8520,9,9,8.9,2.38,11,1.36,1.36,3.63,1.52,3.18,1.43,1.43,1.47,0.07,1.45,0,0,0,0
