"instance","w","h","lots","land_cells","river_cells","preserve_cells","aptitude_classes","connected_components","batch_size","crossover_rate","keep_rate","new_rate","time","generations","seed","num_new_solutions","num_crossovers","num_mutations","num_solutions_explored","generation_best","time_to_best","time_avg","time_std_dev","time_initial","value_best","value_worst","value_avg","value_std_dev","value_initial","max_area_best","max_area_worst","max_area_avg","max_area_std_dev","max_area_initial","min_area_best","min_area_worst","min_area_avg","min_area_std_dev","min_area_initial","rivers_best","rivers_worst","rivers_avg","rivers_std_dev","rivers_initial","river_violations_best","river_violations_worst","river_violations_avg","river_violations_std_dev","river_violations_initial","size_ratio_best","size_ratio_worst","size_ratio_avg","size_ratio_std_dev","size_ratio_initial","convexity_best","convexity_worst","convexity_avg","convexity_std_dev","convexity_initial","num_empty_crossover_lots","num_disconnected_crossover_lots","num_empty_mutation_lots","num_disconnected_mutation_lots"
"200x200k100s45221",200,200,100,37594,2241,165,5,7,32,0,0,1,600,239,14098649359268528128,240,0,0,240,64,162.51,2.5,0.19,2.22,4491.37,4491.37,9474.47,1981.03,11293.54,85,85,129.85,36.56,92,599,599,1024.44,349.66,1231,644,644,6302.31,2422.6,8261,24,24,33.08,4.39,36,7.05,7.05,8.83,4.88,13.38,1.35,1.35,1.4,0.03,1.44,0,0,0,0
"200x200k100s45221",200,200,100,37594,2241,165,5,7,64,0,0,1,600,586,1.4098551418984e+19,587,0,0,587,51,53.21,1.02,0.08,0.9,3984.13,3984.13,8991.16,1675.03,11878.48,235,235,135.5,35.79,135,732,732,942.57,231.6,1235,1685,1685,6288.77,2364.16,7482,23,23,33.4,4.59,29,3.11,3.11,7.62,3.29,9.15,1.37,1.37,1.38,0.03,1.38,0,0,0,0
"200x200k100s45221",200,200,100,37594,2241,165,5,7,128,0,0,1,600,1333,14088423332303140864,1334,0,0,1334,68,31.77,0.45,0.03,0.45,6229.88,6229.88,8785.98,1725.64,8530.18,196,196,134.71,37.04,129,667,667,929.1,223.89,757,1468,1468,6490.73,2353.15,6529,27,27,34.13,4.4,39,3.4,3.4,7.8,4.47,5.87,1.34,1.34,1.36,0.03,1.34,0,0,0,0
"200x200k100s45221",200,200,100,37594,2241,165,5,7,256,0,0,1,600,2767,14088580628034144256,2768,0,0,2768,2326,503.07,0.22,0.02,0.26,7597.03,7597.03,8584.63,1576.18,7044.74,128,128,134.58,35.92,183,1154,1154,917.09,206.73,838,1848,1848,7073.01,2122.94,6081,24,24,35.95,3.9,37,9.02,9.02,7.58,3.76,4.58,1.33,1.33,1.32,0.02,1.28,0,0,0,0
"200x200k100s45221",200,200,100,37594,2241,165,5,7,512,0,0,1,600,4519,14042701901348325376,4520,0,0,4520,4222,560.34,0.13,0.01,0.14,5436.57,5436.57,8181.06,1499.53,6491.75,173,173,134.79,36.36,197,694,694,893.46,198.46,742,2107,2107,7192.1,1812.73,5302,24,24,35.43,3.38,38,4.01,4.01,7.45,4.22,3.77,1.27,1.27,1.26,0.02,1.27,0,0,0,0
"200x200k100s45221",200,200,100,37594,2241,165,5,7,1024,0,0,1,600,6571,1.4042706340982e+19,6572,0,0,6572,3115,284.61,0.09,0,0.09,6335.41,6335.41,8080.58,1522.66,6925.26,142,142,132.76,37.54,151,693,693,886.5,197.79,804,1984,1984,7458.91,1667.35,5668,22,22,33.7,3.07,36,4.88,4.88,7.6,5.14,5.32,1.21,1.21,1.21,0.01,1.22,0,0,0,0
"200x200k100s45221",200,200,100,37594,2241,165,5,7,2048,0,0,1,600,8634,14041011464537554944,8635,0,0,8635,3487,246.96,0.07,0,0.07,4743.8,4743.8,8475.74,1440.19,8897.46,121,121,119.97,37.09,144,680,680,910.73,190.26,1154,2551,2551,8056.24,1618.72,4804,26,26,32.95,2.83,29,5.62,5.62,8.8,5.5,8.01,1.19,1.19,1.18,0.01,1.18,0,0,0,0
"200x200k100s45221",200,200,100,37594,2241,165,5,7,4096,0,0,1,600.02,10472,14088801601224843264,10473,0,0,10473,9875,565.11,0.06,0,0.05,7176.36,7176.36,9327.79,1380.2,9648.12,143,143,99.17,29.95,62,670,670,943.97,189.75,916,3763,3763,9060.27,1491.29,8268,25,25,32.53,2.77,32,4.69,4.69,11.01,7.38,14.77,1.16,1.16,1.15,0.01,1.15,0,0,0,0
"200x200k20s45221",200,200,20,37196,2241,563,5,7,32,0,0,1,600,576,14088394528438540288,577,0,0,577,136,144.92,1.04,0.13,1.16,12023.17,12023.17,31858.19,13315.93,13588.31,1415,1415,1010.81,233.53,1200,2748,2748,3450.57,892.68,2631,91,91,5798.68,3508.83,2221,3,3,8.76,2.22,4,1.94,1.94,3.83,2.34,2.19,1.47,1.47,1.53,0.08,1.41,0,0,0,0
"200x200k20s45221",200,200,20,37196,2241,563,5,7,64,0,0,1,600,1372,14088541984900419584,1373,0,0,1373,473,203.68,0.44,0.06,0.45,16932.4,16932.4,31924.76,13275.55,38511.42,1320,1320,1009.64,241.33,1205,3133,3133,3409.71,849.46,3975,80,80,6143.33,3666.75,5579,4,4,8.87,2.38,10,2.37,2.37,3.83,2.64,3.3,1.58,1.58,1.47,0.07,1.42,0,0,0,0
"200x200k20s45221",200,200,20,37196,2241,563,5,7,128,0,0,1,600.01,2898,14098646525097582592,2899,0,0,2899,746,155.2,0.21,0.02,0.18,13115.51,13115.51,31322.75,12979.93,51641.31,1199,1199,1009.78,253.36,755,2738,2738,3347.11,778.74,4433,42,42,6265.78,3895.45,5543,2,2,9.01,2.58,6,2.28,2.28,3.8,2.64,5.87,1.39,1.39,1.39,0.06,1.4,0,0,0,0
"200x200k20s45221",200,200,20,37196,2241,563,5,7,256,0,0,1,600,5140,14098647910567321600,5141,0,0,5141,4074,473.95,0.12,0.01,0.12,13193.39,13193.39,32268.88,12806.01,42010.98,949,949,996.83,250.22,1219,2641,2641,3403.17,776.49,3783,290,290,7018.78,3891.68,6385,3,3,9.63,2.51,10,2.78,2.78,3.88,2.47,3.1,1.3,1.3,1.31,0.04,1.31,0,0,0,0
"200x200k20s45221",200,200,20,37196,2241,563,5,7,512,0,0,1,600,7689,14089885878910257152,7690,0,0,7690,292,23.42,0.08,0,0.08,35242.01,35242.01,34640.34,12457.45,37142.79,210,210,947.82,258.75,1019,2557,2557,3467.33,781.12,3622,632,632,8332.38,3806.2,11539,4,4,10.2,2.22,11,12.18,12.18,4.3,3.89,3.55,1.24,1.24,1.23,0.03,1.2,0,0,0,0
