"instance","w","h","lots","land_cells","river_cells","preserve_cells","aptitude_classes","connected_components","batch_size","crossover_rate","keep_rate","new_rate","time","generations","seed","num_new_solutions","num_crossovers","num_mutations","num_solutions_explored","generation_best","time_to_best","time_avg","time_std_dev","time_initial","value_best","value_worst","value_avg","value_std_dev","value_initial","max_area_best","max_area_worst","max_area_avg","max_area_std_dev","max_area_initial","min_area_best","min_area_worst","min_area_avg","min_area_std_dev","min_area_initial","rivers_best","rivers_worst","rivers_avg","rivers_std_dev","rivers_initial","river_violations_best","river_violations_worst","river_violations_avg","river_violations_std_dev","river_violations_initial","size_ratio_best","size_ratio_worst","size_ratio_avg","size_ratio_std_dev","size_ratio_initial","convexity_best","convexity_worst","convexity_avg","convexity_std_dev","convexity_initial","num_empty_crossover_lots","num_disconnected_crossover_lots","num_empty_mutation_lots","num_disconnected_mutation_lots"
"200x200k100s45221",200,200,100,37594,2241,165,5,7,256,0,0,1,1800,8079,1.4042639436729e+19,8080,0,0,8080,3094,689.2,0.22,0.01,0.22,6014.12,6014.12,8625.82,1613.49,8712.19,198,198,133.78,36.6,148,800,800,915.15,208.62,856,1381,1381,7078.65,2150.38,8394,25,25,35.85,3.96,38,4.04,4.04,7.73,4.83,5.78,1.3,1.3,1.32,0.02,1.35,0,0,0,0
"200x200k20s45221",200,200,20,37196,2241,563,5,7,256,0,0,1,1800,15103,1.4042638995559e+19,15104,0,0,15104,9760,1162.85,0.12,0.01,0.13,15333.65,15333.65,32375.02,12682.82,26812.28,748,748,989.03,250.83,976,2476,2476,3406.28,782.98,3362,154,154,7058.6,3904.53,6879,3,3,9.63,2.48,8,3.31,3.31,3.94,2.66,3.44,1.3,1.3,1.31,0.04,1.35,0,0,0,0
"200x200k40s45221",200,200,40,37196,2241,563,5,7,256,0,0,1,1800.01,11844,14041013971134466048,11845,0,0,11845,2238,340.82,0.15,0.01,0.16,5264.75,5264.75,19117.4,5209.79,20534.32,644,644,416.42,107.05,296,1389,1389,1939.72,380.12,2399,588,588,7491.08,3069.61,3450,5,5,17.49,3.01,9,2.16,2.16,5.23,3.04,8.1,1.32,1.32,1.31,0.03,1.35,0,0,0,0
"200x200k60s45221",200,200,60,37196,2241,563,5,7,256,0,0,1,1800,10101,14041049070521518080,10102,0,0,10102,5455,976.2,0.18,0.01,0.17,6222.4,6222.4,13694.81,3170.84,16037.93,270,270,249.97,65.92,276,964,964,1392.98,296.13,1681,1141,1141,7517.74,2567.2,10550,16,16,24.34,3.27,26,3.57,3.57,6.29,3.62,6.09,1.27,1.27,1.32,0.03,1.33,0,0,0,0
"200x200k80s45221",200,200,80,37196,2241,563,5,7,256,0,0,1,1800.01,8981,14041015554621609984,8982,0,0,8982,2869,576.55,0.2,0.01,0.21,5174.64,5174.64,10560.55,2121.64,8226.75,187,187,175.2,46.7,239,689,689,1093.89,242.69,963,1315,1315,7190.91,2317.27,5424,23,23,30.06,3.62,32,3.68,3.68,6.98,3.73,4.03,1.32,1.32,1.32,0.02,1.3,0,0,0,0
"300x300k100s94113",300,300,100,81694,8189,117,6,4,256,0,0,1,1800,2261,14041011059137691648,2262,0,0,2262,1660,1324.34,0.8,0.05,0.79,11344.09,11344.09,17112.98,3487.2,16648.81,383,383,306.77,81.25,320,1341,1341,1718.67,349.43,1709,4535,4535,13555.57,3935.32,9826,26,26,33.84,3.64,30,3.5,3.5,6.35,4.17,5.34,1.39,1.39,1.35,0.03,1.4,0,0,0,0
"300x300k20s94113",300,300,20,81694,8189,117,6,4,256,0,0,1,1800,4690,14041059625321349120,4691,0,0,4691,2682,1027.14,0.38,0.04,0.46,58204.62,58204.62,80929.95,19719.81,60746.07,1497,1497,1973.21,482.04,1947,7720,7720,7995.59,616.21,7720,3826,3826,18855.06,8475.36,23102,3,3,9.14,2.23,11,5.16,5.16,4.49,3.08,3.97,1.32,1.32,1.38,0.06,1.34,0,0,0,0
"300x300k40s94113",300,300,40,81694,8189,117,6,4,256,0,0,1,1800,3688,14041169823480117248,3689,0,0,3689,2295,1120.37,0.49,0.04,0.48,35626.96,35626.96,44769.96,10833.22,54718.28,950,950,933.08,240.72,953,4788,4788,4266.51,793.57,5098,1080,1080,17051.45,6929.04,14458,11,11,17.74,2.87,13,5.04,5.04,5.12,3.28,5.35,1.48,1.48,1.4,0.05,1.4,0,0,0,0
"300x300k60s94113",300,300,60,81694,8189,117,6,4,256,0,0,1,1800,2969,14041093037922387968,2970,0,0,2970,1009,616.06,0.61,0.05,0.7,24516.85,24516.85,28839.05,7098.16,19547.7,731,731,566.96,148.19,757,2749,2749,2769.87,522.28,2372,1803,1803,15358.26,5361.5,10964,20,20,24.21,3.24,23,3.76,3.76,5.43,3.01,3.13,1.41,1.41,1.37,0.04,1.34,0,0,0,0
"300x300k80s94113",300,300,80,81694,8189,117,6,4,256,0,0,1,1800,2543,14041058181582286848,2544,0,0,2544,1284,907.51,0.71,0.05,0.75,10419.23,10419.23,21782.32,4731.19,20590.08,594,594,402.13,103.94,366,1656,1656,2118.1,407.75,2033,4121,4121,14673.22,4396.44,10558,18,18,29.31,3.45,30,2.79,2.79,5.87,3.38,5.55,1.32,1.32,1.36,0.03,1.35,0,0,0,0
"400x400k100s16692",400,400,100,153235,6765,0,5,2,256,0,0,1,1800,772,14041141195853416448,773,0,0,773,767,1790.46,2.33,0.18,2.26,26892.22,26892.22,26048.35,5326.4,25228.91,580,580,625.78,157.42,801,3151,3151,3247.11,1077.75,3813,628,628,10967.03,6362.62,6251,16,16,19.22,3.35,19,5.43,5.43,5.71,3.25,4.76,1.43,1.43,1.42,0.04,1.43,0,0,0,0
"400x400k20s16692",400,400,20,153235,6765,0,5,2,256,0,0,1,1800,1793,14041089451939741696,1794,0,0,1794,1345,1351.42,1,0.11,1.08,112274.72,112274.72,109195.57,40497.8,73108.17,922,922,4394.68,1138.83,5513,10562,10562,12641.26,2850.92,11465,0,0,15929.38,11875.6,2707,0,0,6.09,1.78,5,11.46,11.46,3.43,2.97,2.08,1.37,1.37,1.47,0.08,1.43,0,0,0,0
"400x400k40s16692",400,400,40,153235,6765,0,5,2,256,0,0,1,1800,1276,14042758625697157120,1277,0,0,1277,326,462.57,1.41,0.13,1.67,52098.07,52098.07,61218.32,15914.13,56242.52,1825,1825,1827.84,436.72,2204,5945,5945,7162.27,1418.29,8415,60,60,11695.37,8894.74,15002,3,3,9.23,2.21,10,3.26,3.26,4.3,2.08,3.82,1.4,1.4,1.48,0.07,1.45,0,0,0,0
"400x400k60s16692",400,400,60,153235,6765,0,5,2,256,0,0,1,1800,1020,14042757662428094464,1021,0,0,1021,87,158.36,1.76,0.16,1.77,32590.26,32590.26,41857.48,9597.1,40108.5,1142,1142,1156.53,260.73,885,4026,4026,5170.15,1334.67,4502,44,44,11033.99,7730.36,34297,3,3,12.57,2.62,19,3.53,3.53,4.9,3.74,5.09,1.36,1.36,1.45,0.05,1.47,0,0,0,0
"400x400k80s16692",400,400,80,153235,6765,0,5,2,256,0,0,1,1800,865,1.4041018108461e+19,866,0,0,866,579,1209.5,2.08,0.17,2.28,23182.77,23182.77,31805.75,6746.16,32010.34,1057,1057,826.68,191.96,659,2931,2931,4007.12,1194.09,3795,353,353,11031.49,6430.64,22428,13,13,16,2.85,18,2.77,2.77,5.3,2.87,5.76,1.4,1.4,1.43,0.05,1.4,0,0,0,0
"500x500k100s32414",500,500,100,242511,5001,2488,7,7,256,0,0,1,1800.03,384,14042520755803809792,385,0,0,385,300,1412.61,4.69,0.36,4.95,40501.11,40501.11,53636.99,12054.27,47870.13,1187,1187,918.81,217.38,918,5297,5297,4673.99,774.63,4736,4332,4332,24411.63,9654.03,24834,14,14,21.9,3.1,23,4.46,4.46,5.49,2.06,5.16,1.45,1.45,1.44,0.04,1.48,0,0,0,0
"500x500k20s32414",500,500,20,242511,5001,2488,7,7,256,0,0,1,1800,786,14042521365408946176,787,0,0,787,38,92.81,2.29,0.26,2.25,138123.43,138123.43,185407.77,74641.03,172361.69,6237,6237,5839.19,1346.13,6438,18742,18742,19434.92,2931.13,16540,185,185,38910.05,20154.79,46906,4,4,6.91,1.83,8,3,3,3.61,1.44,2.57,1.57,1.57,1.52,0.09,1.4,0,0,0,0
