"instance","w","h","lots","land_cells","river_cells","preserve_cells","aptitude_classes","connected_components","batch_size","crossover_rate","keep_rate","new_rate","time","generations","seed","num_new_solutions","num_crossovers","num_mutations","num_solutions_explored","generation_best","time_to_best","time_avg","time_std_dev","time_initial","value_best","value_worst","value_avg","value_std_dev","value_initial","max_area_best","max_area_worst","max_area_avg","max_area_std_dev","max_area_initial","min_area_best","min_area_worst","min_area_avg","min_area_std_dev","min_area_initial","rivers_best","rivers_worst","rivers_avg","rivers_std_dev","rivers_initial","river_violations_best","river_violations_worst","river_violations_avg","river_violations_std_dev","river_violations_initial","size_ratio_best","size_ratio_worst","size_ratio_avg","size_ratio_std_dev","size_ratio_initial","convexity_best","convexity_worst","convexity_avg","convexity_std_dev","convexity_initial","num_empty_crossover_lots","num_disconnected_crossover_lots","num_empty_mutation_lots","num_disconnected_mutation_lots"
"fortaleza",449,250,40,23231,1388,87631,4,1,256,0.59,0.85,0.05,1800,16300,14042509982687723520,885,81209,81209,163303,14234,1575.6,0.11,0.05,1.01,924.92,5013.35,3221.23,1670.69,5013.35,540,358,356.91,120.74,358,608,1001,760.56,124.96,1001,0,6301,55.67,358.54,6301,0,27,0.62,2.74,27,1.13,2.8,3.12,8.7,2.8,1.18,1.25,1.22,0.02,1.25,35482,184885,0,0
"200x200k100s45221",200,200,100,37594,2241,165,5,7,256,0.59,0.85,0.05,1800,3779,14042689061267658752,240,18817,18817,37874,536,259.73,0.48,0.17,2.73,4270.99,7826.04,4052.99,878.12,6134.44,148,189,140.27,44.81,169,584,958,602.07,94.77,739,16,5274,155.4,344.2,3770,1,37,4.15,5.7,28,3.95,5.07,4.75,1.89,4.37,1.26,1.32,1.27,0.02,1.34,16804,142999,0,0
"200x200k20s45221",200,200,20,37196,2241,563,5,7,256,0.59,0.85,0.05,1800,13839,14040829707385417728,840,68920,68919,138679,363,50.01,0.13,0.09,1.56,5735.84,44262.56,9065.61,4012.57,19280.56,1441,1075,1243.53,245.51,1159,2279,4719,2393.56,121.96,3349,0,4502,34.01,190.6,2992,0,7,0.48,1.16,6,1.58,4.39,2.15,1.77,2.89,1.27,1.39,1.23,0.04,1.37,3940,123735,0,0
"200x200k40s45221",200,200,40,37196,2241,563,5,7,256,0.59,0.85,0.05,1800,7996,14042700149184862208,450,39832,39832,80114,7325,1648.9,0.23,0.11,2.05,1388.81,12976.99,5440.49,3645.36,13976.92,724,610,597.67,153.57,571,1202,1677,1281.72,119.89,1789,0,3895,94.08,307.86,3372,0,18,0.95,2.25,14,1.66,2.75,2.68,2.86,3.13,1.2,1.33,1.24,0.03,1.31,8075,124158,0,0
"200x200k60s45221",200,200,60,37196,2241,563,5,7,256,0.59,0.85,0.05,1800,5643,14042699288294051840,330,28110,28110,56550,482,144.15,0.32,0.13,2.39,1742.64,9688.32,4266.64,2622.48,6960.77,450,348,354.61,113.38,384,795,1236,879.93,100.76,988,0,4507,86.5,329.34,3493,0,22,1.87,3.64,23,1.77,3.55,3.17,3.54,2.57,1.26,1.31,1.25,0.03,1.27,10087,128082,0,0
"200x200k80s45221",200,200,80,37196,2241,563,5,7,256,0.59,0.85,0.05,1800,4335,1.4042701505069e+19,210,21607,21607,43424,3360,1402.76,0.42,0.14,2.77,1543.17,9202.38,3210.08,1382.47,8424.27,366,122,255.42,74.12,259,606,957,664.52,83.41,887,0,5194,83.54,328.42,3112,0,32,1.88,4.61,26,1.66,7.84,3.29,4.9,3.42,1.22,1.3,1.26,0.02,1.3,10889,128362,0,0
"300x300k100s94113",300,300,100,81694,8189,117,6,4,256,0.59,0.85,0.05,1800,1547,14042675564152860672,105,7705,7705,15515,143,176.7,1.16,0.7,11.02,5375.78,12454.52,9696.9,3762.33,11073.42,493,347,400.7,100.6,386,1065,1355,1430.74,355.44,1363,0,9624,195.14,760.54,8867,0,32,4.93,7.24,34,2.16,3.9,4.09,2.67,3.53,1.25,1.33,1.31,0.05,1.33,6091,77497,0,0
"300x300k20s94113",300,300,20,81694,8189,117,6,4,256,0.59,0.85,0.05,1800,5816,14042698796443734016,240,29003,29003,58246,209,83.66,0.31,0.25,5.1,15915.94,87498.25,75747.84,25533.3,61851.85,2835,1410,1884.37,637.19,2003,5222,7720,7542.99,695.39,7720,0,11710,1461.9,1263.33,5774,0,9,0.92,0.87,4,1.84,5.48,5.27,7.07,3.85,1.27,1.47,1.35,0.07,1.38,1426,78746,0,0
"300x300k40s94113",300,300,40,81694,8189,117,6,4,256,0.59,0.85,0.05,1800,3117,14042701496294332416,225,15514,15513,31252,754,414.31,0.58,0.44,6.78,9279.81,47692.98,22747.64,8723.85,28820.2,1412,810,1151.76,287.95,662,2648,4351,3841.82,960.43,3756,0,16876,174.33,719.69,7429,0,19,2.23,3.09,13,1.88,5.37,3.99,3.18,5.67,1.32,1.31,1.33,0.03,1.38,5056,73404,0,0
"300x300k60s94113",300,300,60,81694,8189,117,6,4,256,0.59,0.85,0.05,1800,2318,14032480060835149824,165,11537,11537,23239,2109,1638.88,0.78,0.55,8.16,7501.07,26546.79,12732.82,4516.91,24286.32,943,581,695.54,227.48,724,1810,2746,2036.32,226.98,2583,0,10429,133.98,654.52,7411,0,20,1.59,3.49,17,1.92,4.73,3.76,3.16,3.57,1.26,1.31,1.31,0.03,1.32,7131,74989,0,0
"300x300k80s94113",300,300,80,81694,8189,117,6,4,256,0.59,0.85,0.05,1800,1766,14042700157234210816,135,8788,8788,17711,512,565.65,1.02,0.67,9.37,4688.07,20224.34,10907.56,5120.88,13661.94,700,405,515.38,202.87,532,1352,2268,1722.26,353.59,1604,0,7875,178.89,692.86,6770,0,27,3.5,5.43,26,1.93,5.6,4.58,3.63,3.02,1.28,1.31,1.3,0.04,1.34,5690,72760,0,0
"400x400k100s16692",400,400,100,153235,6765,0,5,2,256,0.59,0.85,0.05,1800,583,14040701622054121472,45,2905,2904,5854,453,1381.81,3.08,2.39,35.48,7373.9,23026.25,8409.83,1933.16,23026.25,1094,771,1037.65,153.74,771,1777,2820,1885.21,174.84,2820,0,3701,23.67,204.49,3701,0,15,0.37,1.93,15,1.62,3.66,1.95,0.92,3.66,1.25,1.38,1.27,0.03,1.38,1017,34915,0,0
"400x400k20s16692",400,400,20,153235,6765,0,5,2,256,0.59,0.85,0.05,1800,2323,14040822018155741184,135,11571,11571,23277,766,610.14,0.77,0.85,14.39,26917.72,80200.41,30864.12,8576.58,121140.71,6761,4486,6833.87,431.69,5010,8998,10245,9138.2,385.52,12849,0,4916,18.1,212.34,3416,0,5,0.06,0.5,6,1.33,2.28,1.36,0.51,2.56,1.35,1.37,1.32,0.04,1.44,415,60036,0,0
"400x400k40s16692",400,400,40,153235,6765,0,5,2,256,0.59,0.85,0.05,1800,1342,14041012114723155968,90,6683,6682,13455,561,784.63,1.34,1.32,20.62,13293.39,46954.73,19186.09,7596.71,47338.99,3184,2446,3084.74,338.28,2452,4486,6133,4619.27,518.87,7536,0,3758,18.49,165.05,1512,0,10,0.19,0.97,9,1.41,2.51,1.54,0.47,3.07,1.31,1.43,1.31,0.03,1.46,677,44869,0,0
"400x400k60s16692",400,400,60,153235,6765,0,5,2,256,0.59,0.85,0.05,1800,893,14032492555403151360,60,4446,4446,8952,275,618.06,2.02,1.61,24.94,6520,34135.76,11128.39,4898.27,44478.31,2093,1650,1918.8,248.44,958,3132,4291,3189.73,238.74,4805,0,3398,18.72,170.66,714,0,12,0.47,1.37,8,1.5,2.6,1.72,0.44,5.02,1.3,1.4,1.3,0.03,1.49,752,38547,0,0
"400x400k80s16692",400,400,80,153235,6765,0,5,2,256,0.59,0.85,0.05,1800,749,1.4040909592678e+19,30,3740,3740,7510,683,1649.03,2.4,1.53,30.7,5130.22,27981.01,6816.32,2476.99,27981.01,1496,1043,1505.34,139.28,1043,2350,3101,2345.57,105.67,3101,0,1525,14.31,105.58,1525,0,12,0.25,1.39,12,1.57,2.97,1.59,0.31,2.97,1.25,1.42,1.25,0.02,1.42,387,35814,0,0
"500x500k100s32414",500,500,100,242511,5001,2488,7,7,256,0.59,0.85,0.05,1800,272,1.4033244963716e+19,15,1357,1357,2729,265,1762.55,6.61,3.92,68.08,13754.22,42917.98,17458.96,5810.5,42917.98,1520,1093,1463.13,89.24,1093,4295,3694,4298.76,115.26,3694,0,9479,124.67,720.39,9479,0,19,2.04,4.06,19,2.83,3.38,2.95,0.16,3.38,1.29,1.41,1.31,0.03,1.41,508,23766,0,0
"500x500k20s32414",500,500,20,242511,5001,2488,7,7,256,0.59,0.85,0.05,1800.01,951,14033420312288718848,75,4733,4732,9540,587,1035.83,1.89,2.27,34.31,19657.15,100847.11,58221.84,35100.06,100847.11,7914,6479,7567.89,524.1,6479,19375,18733,19511.92,1114.39,18733,0,12763,60.39,736.27,12763,0,2,0.3,0.93,2,2.45,2.89,2.6,0.31,2.89,1.6,1.64,1.54,0.09,1.64,558,20455,0,0
"500x500k40s32414",500,500,40,242511,5001,2488,7,7,256,0.59,0.85,0.05,1800,473,14033420210446858240,45,2354,2353,4752,391,1464.94,3.8,3.25,40.96,35994.55,89012.49,46309.57,11101,110588.85,3867,3326,3710.31,358.41,3063,10857,10296,10781.34,423.97,10334,0,11625,174.89,931.97,7520,0,9,0.72,2.01,9,2.81,3.1,2.95,0.52,3.37,1.44,1.59,1.42,0.03,1.61,1063,20248,0,0
"500x500k60s32414",500,500,60,242511,5001,2488,7,7,256,0.59,0.85,0.05,1800,415,1.4040689491665e+19,45,2061,2061,4167,31,218.08,4.34,4.19,53.11,19826.98,59615.07,26152.27,8534.71,67296.81,2401,1641,2444.73,248.81,2065,6574,6857,6966.08,385.67,7831,0,10838,167.84,1041.8,9681,0,12,1.67,2.88,15,2.74,4.18,2.89,0.43,3.79,1.36,1.47,1.34,0.06,1.37,624,27097,0,0
"500x500k80s32414",500,500,80,242511,5001,2488,7,7,256,0.59,0.85,0.05,1800,329,14040695323036497920,30,1636,1635,3301,224,1296.98,5.47,4.76,64.99,18423.7,63057.25,21586.08,5142.81,36827.46,1827,1690,1688.98,211.03,1445,5086,6912,4962.73,209.98,4966,0,14106,143.6,1002.06,10863,0,14,2.07,3.28,14,2.78,4.09,3.01,0.64,3.44,1.31,1.42,1.34,0.04,1.48,663,27529,0,0
"600x600k100s6306",600,600,100,342444,17364,192,10,4,256,0.59,0.85,0.05,1800,168,14033420793489184768,15,837,837,1689,166,1791.36,10.7,9.17,126.65,47220.84,82319.73,62236.24,4694.99,82319.73,2215,1370,1139.39,378.92,1370,5432,7130,5510.83,197.78,7130,0,19434,1395.6,2203.65,19434,0,23,3.54,3.28,23,2.45,5.2,5.52,2.36,5.2,1.32,1.44,1.39,0.03,1.44,824,15328,0,0
"600x600k20s6306",600,600,20,342444,17364,192,10,4,256,0.59,0.85,0.05,1800.15,625,14033272161478430720,75,3105,3105,6285,261,724.6,2.88,4.42,51.66,222836.64,328025.22,303028.23,58655.47,698310.49,13131,8196,11419.64,1208.62,3485,24702,27699,22897.15,2439.94,42783,0,33957,189.9,1632.43,8513,0,5,0.47,1.06,6,1.88,3.38,2.04,0.56,12.28,1.49,1.66,1.5,0.08,1.6,252,16085,0,0
"600x600k40s6306",600,600,40,342444,17364,192,10,4,256,0.59,0.85,0.05,1800.15,581,14033283524830158848,45,2895,2895,5835,348,1132.44,3.09,3.91,55.98,134268.36,198808.32,156523.05,24845.16,258809.81,6142,2805,4594.71,974.57,3044,12177,13253,12482.54,441.64,14281,0,19941,254.14,1423.2,16138,0,9,0.83,2.25,8,1.98,4.72,2.85,0.69,4.69,1.52,1.6,1.5,0.06,1.53,808,24540,0,0
"600x600k60s6306",600,600,60,342444,17364,192,10,4,256,0.59,0.85,0.05,1800,445,1.4033278903366e+19,30,2218,2218,4466,331,1268.18,4.04,4.81,76.95,70190.3,155615.85,78907.08,12120.11,155615.85,3942,2683,3341.45,1005.86,2683,8362,9130,8441.3,216.25,9130,0,31536,1268.36,2220.38,31536,0,16,2.28,2.56,16,2.12,3.4,3.12,2.06,3.4,1.47,1.5,1.45,0.04,1.5,541,27447,0,0
"600x600k80s6306",600,600,80,342444,17364,192,10,4,256,0.59,0.85,0.05,1800.01,353,14032397767075434496,30,1757,1756,3543,249,1276.8,5.09,6.31,86.49,54040.54,108343.34,56373.41,7842.84,108343.34,3008,1798,2877.69,319.55,1798,6967,7995,7159.41,241.55,7995,61,24032,712.97,2302.42,24032,3,20,3.18,2.36,20,2.32,4.45,2.54,0.47,4.45,1.41,1.49,1.4,0.04,1.49,195,30816,0,0
"fortaleza",449,250,40,23231,1388,87631,4,1,256,0.59,0.85,0.05,1800,16289,14042714937695223808,810,81180,81179,163169,8180,904.22,0.11,0.05,0.98,975.29,5777.49,3083.7,1518.91,4681.2,534,283,361.18,119.72,210,618,918,752.39,121.92,904,0,6170,52.84,351.93,5008,0,22,0.57,2.6,21,1.16,3.24,2.96,5.33,4.3,1.2,1.25,1.22,0.02,1.25,33028,184764,0,0
"200x200k100s45221",200,200,100,37594,2241,165,5,7,256,0.59,0.85,0.05,1800,3737,14042783663726606336,210,18616,18616,37442,3467,1671.13,0.48,0.17,2.92,5159.11,8706.62,3883.87,852.97,6494.06,90,137,141.12,33.24,158,638,850,605.17,124.12,777,25,4920,137.26,324.73,3871,1,27,4,5.77,29,7.09,6.2,4.66,3.03,4.92,1.27,1.32,1.26,0.02,1.3,15468,138069,0,0
"200x200k20s45221",200,200,20,37196,2241,563,5,7,256,0.59,0.85,0.05,1800,14129,14042720188772323328,765,70392,70392,141549,3633,461.56,0.13,0.08,1.29,5786.58,32617.51,9199.87,4171.96,14574.35,1447,1270,1217.96,244.37,1328,2452,3894,2403.87,111.23,2627,0,4094,27.42,170.66,1875,0,10,0.33,0.99,6,1.69,3.07,2.29,4.29,1.98,1.26,1.38,1.22,0.03,1.28,4231,121402,0,0
"200x200k40s45221",200,200,40,37196,2241,563,5,7,256,0.59,0.85,0.05,1800,7916,14042663125298563072,435,39436,39436,79307,1263,282.13,0.23,0.11,2.13,2233.96,17958.94,5428.02,3671.03,6151.23,714,350,597.21,154.06,685,1245,2222,1350.56,213.15,1429,0,6300,69.85,291.92,2744,0,15,0.98,2.22,16,1.74,6.35,3.06,10.67,2.09,1.26,1.29,1.25,0.03,1.31,7710,126881,0,0
"200x200k60s45221",200,200,60,37196,2241,563,5,7,256,0.59,0.85,0.05,1800,5639,14041044718262444032,330,28089,28088,56507,191,64.04,0.32,0.14,2.44,1834.89,12047.06,5018.59,3042.16,10541.72,470,243,338.58,120.27,238,815,1318,904.87,118.45,1202,0,5441,123.21,377.04,3772,0,22,1.62,3.46,20,1.73,5.42,3.43,2.49,5.05,1.24,1.29,1.26,0.02,1.29,11270,132890,0,0
"200x200k80s45221",200,200,80,37196,2241,563,5,7,256,0.59,0.85,0.05,1800,4438,14042655097804648448,255,22109,22109,44473,562,240.13,0.41,0.15,2.66,1248.68,10999.75,3934.59,1958.55,10999.75,341,139,229.02,85.64,139,626,1297,717.06,128.93,1297,0,5636,78.13,339.1,5636,0,24,1.91,4.86,24,1.84,9.33,3.83,2.13,9.33,1.24,1.32,1.27,0.03,1.32,13318,132006,0,0
"300x300k100s94113",300,300,100,81694,8189,117,6,4,256,0.59,0.85,0.05,1800,1456,1.4042694743105e+19,75,7260,7260,14595,1360,1676.28,1.24,0.58,10.93,4515.72,14609.3,7673.9,2743.12,12039.56,574,411,479.92,115.19,241,1085,1345,1293.43,201.93,1747,0,10418,124.38,559.17,7320,0,34,3.54,4.48,23,1.89,3.27,3.01,1.39,7.25,1.26,1.38,1.29,0.04,1.35,3641,72617,0,0
"300x300k20s94113",300,300,20,81694,8189,117,6,4,256,0.59,0.85,0.05,1800,6165,14041037368739106816,195,30765,30765,61725,879,252.4,0.29,0.23,5.09,103546.21,52477.56,81785.1,24643.27,58121.46,2023,2157,1878.13,494.63,2381,7761,7720,7740.18,60.4,7720,0,11197,1605.65,1323.78,6106,0,9,0.92,0.75,4,3.84,3.58,7.97,44.11,3.24,1.35,1.37,1.34,0.07,1.44,669,79616,0,0
"300x300k40s94113",300,300,40,81694,8189,117,6,4,256,0.59,0.85,0.05,1800,3266,14042663125402595328,210,16262,16262,32734,1674,947.12,0.55,0.41,6.84,10737.55,38798.23,23213.45,7251.78,42833,1429,1008,1097.57,305.05,962,2662,4545,3646.59,657.75,4171,0,11177,151.77,668.76,9554,0,18,2.25,3.03,14,1.86,4.51,3.81,1.99,4.34,1.3,1.39,1.35,0.04,1.37,6916,70630,0,0
"300x300k60s94113",300,300,60,81694,8189,117,6,4,256,0.59,0.85,0.05,1800,2299,14042698660519890944,120,11458,11458,23036,2292,1795.23,0.78,0.48,8.42,6806.35,22896.53,11370.1,4528.46,19630.12,934,583,768.94,213.43,634,1821,2594,1991.43,246.32,2619,0,8707,77.78,528.27,7563,0,22,0.76,2.46,20,1.95,4.45,3.08,1.93,4.13,1.26,1.44,1.33,0.04,1.36,5148,80439,0,0
"300x300k80s94113",300,300,80,81694,8189,117,6,4,256,0.59,0.85,0.05,1800.01,1800,14041012335215826944,150,8952,8951,18053,1529,1534.35,1,0.7,10.13,5962.54,21814.29,11866.07,4476.25,21814.29,661,398,498.18,159.18,398,1470,2710,1848.62,426.7,2710,0,10873,238.37,869.76,10873,0,28,5.39,6.54,28,2.22,6.81,4.34,2.31,6.81,1.28,1.31,1.32,0.05,1.31,6680,78785,0,0
"400x400k100s16692",400,400,100,153235,6765,0,5,2,256,0.59,0.85,0.05,1800,603,14042661268055605248,45,3004,3004,6053,456,1292.48,2.98,2.32,33.29,6972.11,19865.09,9239.97,1974.68,19865.09,1176,905,1010.78,145.37,905,1887,2910,1857.3,160.83,2910,0,2664,38.94,185.22,2664,0,13,1.02,2.3,13,1.6,3.22,1.92,0.65,3.22,1.25,1.42,1.27,0.03,1.42,675,36452,0,0
"400x400k20s16692",400,400,20,153235,6765,0,5,2,256,0.59,0.85,0.05,1800,2197,14041036184293582848,165,10934,10934,22033,1384,1160.13,0.82,0.95,14.25,27761.26,77915.66,32396.06,12249.15,109494.91,7263,4705,6732.68,826.73,3865,9083,11068,9058.54,317.4,12322,0,3868,16.15,186.8,3502,0,6,0.05,0.41,7,1.25,2.35,1.4,0.51,3.19,1.29,1.38,1.31,0.03,1.54,529,51596,0,0
"400x400k40s16692",400,400,40,153235,6765,0,5,2,256,0.59,0.85,0.05,1800,1372,14059468023668199424,75,6838,6837,13750,1337,1759.75,1.31,1.19,19.47,13720.15,39599.8,19522.66,6946.7,39599.8,3302,2620,3070.85,321.37,2620,4571,6343,4574.29,329.38,6343,0,1951,6.42,70.78,1951,0,6,0.12,0.67,6,1.38,2.42,1.54,0.6,2.42,1.3,1.47,1.29,0.04,1.47,767,49501,0,0
"400x400k60s16692",400,400,60,153235,6765,0,5,2,256,0.59,0.85,0.05,1800.01,922,14059407880363155456,75,4590,4590,9255,217,500.81,1.95,1.8,26.17,9225.21,37433.44,12908.71,5425.83,34644.86,2146,1409,1936.2,443.01,1433,3062,6247,3196.05,365.38,6285,0,3803,30.73,209.77,1722,0,11,0.43,1.68,10,1.43,4.43,1.98,2.06,4.39,1.26,1.35,1.27,0.04,1.45,936,39140,0,0
