"instance","w","h","lots","land_cells","river_cells","preserve_cells","aptitude_classes","connected_components","batch_size","crossover_rate","keep_rate","new_rate","time","generations","seed","num_new_solutions","num_crossovers","num_mutations","num_solutions_explored","generation_best","time_to_best","time_avg","time_std_dev","time_initial","value_best","value_worst","value_avg","value_std_dev","value_initial","max_area_best","max_area_worst","max_area_avg","max_area_std_dev","max_area_initial","min_area_best","min_area_worst","min_area_avg","min_area_std_dev","min_area_initial","rivers_best","rivers_worst","rivers_avg","rivers_std_dev","rivers_initial","river_violations_best","river_violations_worst","river_violations_avg","river_violations_std_dev","river_violations_initial","size_ratio_best","size_ratio_worst","size_ratio_avg","size_ratio_std_dev","size_ratio_initial","convexity_best","convexity_worst","convexity_avg","convexity_std_dev","convexity_initial","num_empty_crossover_lots","num_disconnected_crossover_lots","num_empty_mutation_lots","num_disconnected_mutation_lots"
"200x200k100s45221",200,200,100,37594,2241,165,5,7,256,6,2,2,1800.02,0,14042684736221945856,0,0,0,0,14780,532.67,0.04,0.01,0.03,13034.64,16338.75,12628.22,1579.4,11620.54,112,55,46.67,21.77,33,1179,1413,1195.84,266.35,987,5835,17594,11560.23,1420.51,11285,25,36,32.12,3.06,33,10.53,25.69,38.5,60.73,29.91,1.18,1.15,1.16,0.01,1.15,0,0,0,0
"200x200k20s45221",200,200,20,37196,2241,563,5,7,256,6,2,2,1800.03,0,14042738221147377664,0,0,0,0,41389,1355.94,0.03,0,0.02,44131.44,104235.57,64335.76,15841.42,69668.35,675,9,426.01,195.55,72,4027,7445,4888.3,1315.69,5469,0,32700,16591.54,4671.49,26210,0,15,10.76,2.03,13,5.97,827.22,16.99,35.06,75.96,1.17,1.18,1.18,0.03,1.17,0,0,0,0
"200x200k40s45221",200,200,40,37196,2241,563,5,7,256,6,2,2,1800.01,0,14042704218809075712,0,0,0,0,20039,676.79,0.03,0,0.03,21955.54,34464.39,31941.32,6054.41,40749.07,225,56,165.93,75.51,119,1759,3206,2686.34,696.19,3161,4295,24731,15043.71,2692.28,19116,11,25,18.05,2.24,19,7.82,57.25,23.9,48.79,26.56,1.16,1.19,1.17,0.02,1.16,0,0,0,0
"200x200k60s45221",200,200,60,37196,2241,563,5,7,256,6,2,2,1800.02,0,14042700893796888576,0,0,0,0,30880,1099.95,0.04,0,0.02,20733.47,29128.73,21115.65,3322.97,19959.91,101,24,95.95,43.07,84,1603,2175,1879.43,449.8,1676,4690,21898,13465.82,2014.14,11867,17,29,23.31,2.52,22,15.87,90.62,28.58,49.68,19.95,1.15,1.17,1.16,0.02,1.17,0,0,0,0
"200x200k80s45221",200,200,80,37196,2241,563,5,7,256,6,2,2,1800.01,0,1.4042725578177e+19,0,0,0,0,118,4.54,0.04,0,0.03,14294.62,18408.27,15728.3,2183.07,25790.59,115,18,64.88,29.38,62,1572,2243,1453.67,338.9,3202,5339,18662,12228.39,1631.17,13155,25,32,27.61,2.77,25,13.67,124.61,33.22,55.74,51.65,1.15,1.16,1.16,0.01,1.18,0,0,0,0
"300x300k100s94113",300,300,100,81694,8189,117,6,4,256,6,2,2,1800.01,0,14042725249853134848,0,0,0,0,14198,1212.84,0.09,0.01,0.06,25085.94,43829.33,29155.79,3929.32,24082.85,57,35,103.07,46.49,115,2085,3933,2682.78,634.37,1907,14294,39848,27272.17,3208.73,26493,29,32,34.81,3.11,35,36.58,112.37,38.24,77.07,16.58,1.18,1.18,1.17,0.01,1.17,0,0,0,0
"300x300k20s94113",300,300,20,81694,8189,117,6,4,256,6,2,2,1800.02,0,14040830284570392576,0,0,0,0,16155,1149.17,0.07,0.01,0.06,119737.42,232989.27,144938.17,33031.71,203500.7,1442,192,882.29,414.63,594,9119,18594,10346.04,2471.13,13918,0,69145,35382.8,10476.42,48622,0,18,10.74,2.1,10,6.32,96.84,17.72,46.54,23.43,1.23,1.25,1.19,0.03,1.18,0,0,0,0
"300x300k40s94113",300,300,40,81694,8189,117,6,4,256,6,2,2,1800.04,0,14040829536904871936,0,0,0,0,7161,556.58,0.08,0.01,0.06,52333.08,86579.14,75125.86,14518.8,71434.86,177,145,352.63,159.82,173,4211,6986,6100.42,1544.46,7156,9655,56136,34765.74,6010.13,30171,12,24,19.17,2.29,17,23.79,48.18,25.62,65.25,41.36,1.19,1.19,1.18,0.02,1.2,0,0,0,0
"300x300k60s94113",300,300,60,81694,8189,117,6,4,256,6,2,2,1800.04,0,14032387493487400960,0,0,0,0,5923,481.36,0.08,0.01,0.06,27769.92,61241.71,49628.33,8182.51,51524.98,471,46,206.2,94.1,285,2853,5193,4298.16,1102.22,4130,13888,48254,31942.9,4564.61,32225,23,29,25.35,2.62,25,6.06,112.89,31.15,74,14.49,1.15,1.17,1.18,0.02,1.15,0,0,0,0
"300x300k80s94113",300,300,80,81694,8189,117,6,4,256,6,2,2,1800.05,0,1.4042706250137e+19,0,0,0,0,11450,958.81,0.09,0.01,0.06,29768.09,52603.59,36747.38,5419.77,32313.05,87,28,140.09,63.37,98,3052,4377,3300.79,820.19,2713,14394,44586,29362.96,3752.42,29420,20,35,30.45,2.88,31,35.08,156.32,34.37,71.67,27.68,1.18,1.18,1.17,0.01,1.16,0,0,0,0
